"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C2,C3,C1,C5,C8,C10","C_0603_1608Metric","C14663"
"22pF","C6,C7,C15,C14","C_0603_1608Metric","C1653"
"1uF","C9","C_0603_1608Metric","C14663"
"10uF","C11","C_0603_1608Metric","C19702"
"100uF","C12,C13","CP_EIA-3528-15_AVX-H","C16133"
"PRG","D1","LED_0805_2012Metric","C34499"
"HB","D2","LED_0805_2012Metric","C2296"
"ERR","D3","LED_0805_2012Metric","C84256"
"BLINK","D4","LED_0805_2012Metric","C2293"
"500mA","F1","Fuse_1206_3216Metric","C163133"
"22R","R1,R2","R_0603_1608Metric","C23345"
"10K","R4,R3","R_0603_1608Metric","C25804"
"1K","R5,R7,R8,R6","R_0603_1608Metric","C21190"
"ATmega32U4-AU","U1","TQFP-44_10x10mm_P0.8mm","C44854"
"16MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
