Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,164.532500,-94.930000,0.000000,top
C2,0.1uF,C_0805_2012Metric,157.160000,-110.780000,0.000000,top
C3,0.1uF,C_0603_1608Metric,168.480000,-106.367500,90.000000,top
C4,4.7uF,C_0805_2012Metric,142.680000,-98.370000,270.000000,top
C5,0.1uF,C_0805_2012Metric,156.092500,-94.930000,180.000000,top
C6,22pF,C_0805_2012Metric,163.797087,-111.817087,135.000000,top
C7,22pF,C_0805_2012Metric,159.142913,-115.842913,315.000000,top
C8,4.7uF,C_0805_2012Metric,144.600000,-98.370000,270.000000,top
C9,1uF,C_0805_2012Metric,151.797500,-102.100000,180.000000,top
C10,0.1uF,C_0805_2012Metric,151.797500,-104.210000,0.000000,top
C11,10uF,C_0805_2012Metric,148.384500,-106.836000,0.000000,top
C12,100uF,CP_EIA-3528-15_AVX-H,148.422000,-110.486000,180.000000,top
C13,100uF,CP_EIA-3528-15_AVX-H,143.425000,-68.275000,0.000000,top
C14,22pF,C_0805_2012Metric,153.062913,-75.037087,225.000000,top
C15,22pF,C_0805_2012Metric,146.225000,-72.250000,45.000000,top
D1,PRG,LED_0805_2012Metric,180.941000,-99.880000,180.000000,top
D2,HB,LED_0805_2012Metric,176.982000,-99.854000,180.000000,top
D3,ERR,LED_0805_2012Metric,173.016000,-99.854000,180.000000,top
D4,SCK BLINK,LED_0805_2012Metric,176.800000,-75.212500,90.000000,top
D5,Schottky,D_SOD-123,136.090000,-95.130000,180.000000,top
F1,500mA,Fuse_1206_3216Metric,141.120000,-95.100000,180.000000,top
R1,22R,R_0805_2012Metric,147.662500,-102.075000,180.000000,top
R2,22R,R_0805_2012Metric,147.687500,-100.175000,180.000000,top
R4,10K,R_0805_2012Metric,170.300000,-94.930000,180.000000,top
R5,1K,R_0805_2012Metric,181.642500,-94.930000,180.000000,top
R6,1K,R_0805_2012Metric,177.922500,-94.930000,180.000000,top
R7,1K,R_0805_2012Metric,174.032500,-94.930000,180.000000,top
R8,1K,R_0805_2012Metric,174.187500,-77.425000,180.000000,top
R9,5.1K,R_0805_2012Metric,140.360000,-105.192500,270.000000,top
R10,5.1K,R_0805_2012Metric,140.460000,-98.370000,270.000000,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,160.875000,-102.850000,270.000000,top
USB1,CLEAN-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,128.330000,-102.420000,270.000000,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,161.110000,-113.440000,135.000000,top
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,148.978858,-74.126777,135.000000,top
